instance	master	placement_status	orientation	box
FE_OFC1153_n_1655	INJIHDX2	placed	MX	{609.84 333.76 612.08 338.24}
FE_OFC1159_n_1652	INJIHDX1	placed	R0	{618.8 311.36 620.48 315.84}
FE_OFC1179_u_core_pd_hit_level_1	BUJIHDX1	placed	MX	{338.8 172.48 341.04 176.96}
FE_OFC1181_u_core_pd_hit_level_41	BUJIHDX1	placed	MX	{288.96 611.52 291.2 616.0}
FE_OFC1182_u_core_pd_hit_level_46	BUJIHDX1	placed	R0	{165.2 490.56 167.44 495.04}
FE_OFC1187_u_core_drain_read_ctx_0	BUJIHDX1	placed	R0	{435.68 293.44 437.92 297.92}
FE_OFC1188_u_core_drain_read_ctx_0	BUJIHDX1	placed	MX	{353.36 271.04 355.6 275.52}
FE_OFC1189_u_core_drain_read_ctx_0	BUJIHDX2	placed	MX	{334.32 378.56 337.12 383.04}
FE_OFC1190_u_core_drain_read_ctx_0	BUJIHDX2	placed	MX	{426.16 468.16 428.96 472.64}
FE_OFC1191_u_core_drain_read_ctx_0	BUJIHDX2	placed	MX	{398.72 459.2 401.52 463.68}
FE_OFC1200_u_core_pd_hit_level_61	BUJIHDX1	placed	R0	{508.48 562.24 510.72 566.72}
FE_OFC1201_u_core_pd_hit_level_63	BUJIHDX1	placed	MX	{254.8 414.4 257.04 418.88}
FE_OFC1228_u_core_drain_read_ctx_0	BUJIHDX2	placed	MY	{618.24 562.24 621.04 566.72}
FE_OFC1229_u_core_drain_read_ctx_0	BUJIHDX4	placed	R0	{556.08 311.36 560.56 315.84}
FE_OFC1230_u_core_drain_read_ctx_0	INJIHDX6	placed	MX	{614.32 235.2 618.8 239.68}
FE_OFC1233_u_core_fast_tag_col_7__0	INJIHDX0	placed	MX	{254.8 369.6 256.48 374.08}
FE_OFC1248_FE_DBTN6_u_core_n_1544	INJIHDX1	placed	R0	{575.12 230.72 576.8 235.2}
FE_OFC1252_FE_OCPN1668_u_core_fast_tag_col_2__4	INJIHDX0	placed	R0	{534.8 185.92 536.48 190.4}
FE_OFC1268_FE_DBTN13_u_core_n_1556	BUJIHDX6	placed	MX	{544.88 656.32 551.04 660.8}
FE_OFC127_u_core_drain_read_ctx_0	BUJIHDX8	placed	R180	{715.68 333.76 723.52 338.24}
FE_OFC1280_FE_DBTN36_hit_latched_41	BUJIHDX1	placed	R0	{292.32 203.84 294.56 208.32}
FE_OFC1284_FE_OCPN1624_hit_latched_41	BUJIHDX1	placed	MX	{162.96 396.48 165.2 400.96}
FE_OFC1286_FE_DBTN46_hit_latched_41	BUJIHDX1	placed	R0	{333.76 642.88 336.0 647.36}
FE_OFC1313_u_core_pd_hit_level_18	INJIHDX0	placed	MX	{562.24 262.08 563.92 266.56}
FE_OFC1314_u_core_n_1557	INJIHDX2	placed	MX	{563.36 647.36 565.6 651.84}
